date,floor,garage,image_urls,images,link,m2,off,price,rooms,title
05-11-2018,2ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/01/de/2b/598261248.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/01/de/2b/598261248.jpg', 'path': 'full/1bf5ff54a600a029cfb623bf37a75b38e73b8687.jpg', 'checksum': '0e0288bfdad7616cac4db9332f8bfe3a'}]",https://www.idealista.com/inmueble/82461708/,77,0,290000,3,"Piso en calle Pallars, Barcelona, s/n, El Poblenou, Barcelona"
05-11-2018,4ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a1/a2/4e/578983910.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/a1/a2/4e/578983910.jpg', 'path': 'full/bb53d472f3cd9d5364c0a704dff56bb8314b223e.jpg', 'checksum': '76d7e8b752b7fdb5893d55c851ba58a7'}]",https://www.idealista.com/inmueble/81548426/,75,0,409000,2,"Piso en Sant Pere - Santa Caterina i la Ribera, Barcelona"
05-11-2018,Bajo,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/1c/00/49/576100682.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/1c/00/49/576100682.jpg', 'path': 'full/712b09d582dd3e0774ea643fd8005f318ae75aa6.jpg', 'checksum': 'a019619225f14e689e060b644f7d961d'}]",https://www.idealista.com/inmueble/39998082/,85,0,390000,2,"Dúplex en Art, 79, El Guinardó, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/c1/66/a3/594345556.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/c1/66/a3/594345556.jpg', 'path': 'full/b22221ded17891dd82a179fbbf15e9ea010513dd.jpg', 'checksum': '0196ac9c4274d9edb5330ea56133b620'}]",https://www.idealista.com/inmueble/82253854/,135,0,995000,4,"Piso en valencia, La Dreta de l'Eixample, Barcelona"
05-11-2018,1ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ab/db/1f/600323243.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/ab/db/1f/600323243.jpg', 'path': 'full/697f14da3f5cc41f5b29acb4b0d599e288be528f.jpg', 'checksum': 'a90143599310be9da74fbcf808a9c48a'}]",https://www.idealista.com/inmueble/39981973/,193,0,649000,6,"Piso en Gran Via de les Corts Catalanes, La Nova Esquerra de l'Eixample, Barcelona"
05-11-2018,2ª,1,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/77/6e/c7/269319333.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/77/6e/c7/269319333.jpg', 'path': 'full/2811081ffc157cacd95a99a6b646e0e57df6c3f4.jpg', 'checksum': '0cb158795d8360e95715a0dbec438a2d'}]",https://www.idealista.com/inmueble/39921776/,193,0,1600000,4,"Piso en bosch i gimpera, Pedralbes, Barcelona"
05-11-2018,2ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/8d/d8/67/590627732.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/8d/d8/67/590627732.jpg', 'path': 'full/28f364147f662194251e1bf8f7993fcbfba8af96.jpg', 'checksum': '6cf035b146f8c2e4ee3967bfe138db45'}]",https://www.idealista.com/inmueble/81684330/,133,0,588000,5,"Piso en El Camp d'En Grassot i Gràcia Nova, Barcelona"
05-11-2018,2ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f5/69/07/608991753.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/f5/69/07/608991753.jpg', 'path': 'full/74bf00ce30a07ced32ca767e91400ef113df5fed.jpg', 'checksum': 'd545e68270b24779349a7811a3cc6ca8'}]",https://www.idealista.com/inmueble/81354031/,141,0,620000,3,"Piso en Sant Antoni, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2b/e1/32/282215575.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2b/e1/32/282215575.jpg', 'path': 'full/192699b5d149a4aa3f90b679e26b8e60f6ba4524.jpg', 'checksum': 'f0a84aa99159d25c8f0982a66fdc2814'}]",https://www.idealista.com/inmueble/40501999/,74,0,265000,2,"Piso en calle dels Jocs Florals, Sants, Barcelona"
05-11-2018,3ª,0,https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2d/b7/6b/608940170.jpg,"[{'url': 'https://img3.idealista.com/blur/WEB_LISTING_TOP/0/id.pro.es.image.master/2d/b7/6b/608940170.jpg', 'path': 'full/2999c228af0c1d782b8b865ea3662ddf99546560.jpg', 'checksum': '8baf71f51bebdeb1b2959ba79312d922'}]",https://www.idealista.com/inmueble/82971678/,56,0,179800,1,"Piso en avenida DE LA MARE DE DEU DE MONTSERRAT, El Guinardó, Barcelona"
